,zipCode,Density,LandArea,Population,Wealthy
2420,94122,23738.559322,2.36,56023.0,26177.8981311
2421,94118,19650.7692308,1.95,38319.0,41202.501083
2424,94112,23633.0357143,3.36,79407.0,18441.9432796
2426,94107,14859.7765363,1.79,26599.0,49267.0613557
2427,94111,10920.5882353,0.34,3713.0,70755.441422
2428,94124,6895.74036511,4.93,33996.0,13046.1346629
2436,94131,12923.5576923,2.08,26881.0,43765.7415647
2437,94105,15800.0,0.37,5846.0,88364.2718098
2441,94110,29756.6523605,2.33,69333.0,27502.0329136
2454,94116,16871.8146718,2.59,43698.0,26774.0563184
2459,94127,10897.740113,1.77,19289.0,43491.6667531
2469,94102,46531.3432836,0.67,31176.0,15423.1812292
2470,94133,34522.3684211,0.76,26237.0,28489.6979456
2472,94114,21765.034965,1.43,31124.0,55081.8068693
2482,94117,23176.9230769,1.69,39169.0,38289.6465317
2494,94121,13377.5974026,3.08,41203.0,29058.4811543
2495,94108,50992.5925926,0.27,13768.0,50804.5254939
2498,94115,29483.0357143,1.12,33021.0,43106.9525756
2518,94134,16999.1666667,2.4,40798.0,16602.7983725
2531,94109,47045.3781513,1.19,55984.0,33224.3382216
2566,94103,19977.9411765,1.36,27170.0,23481.6626426
2584,94104,5075.0,0.08,406.0,282913.581281
2615,94132,9044.69453376,3.11,28129.0,19735.4509581
2658,94123,22635.2941176,1.02,23088.0,71547.6329695
2761,94129,1383.91304348,2.3,3183.0,54101.3147974
3106,94158,7260.60606061,0.66,4792.0,38522.5550918
